frequency_hz,total_db,broadband_db,tonal_db
6650.801758,14.48313805,13.50430995,7.532133468
6827.452148,15.19759529,13.63035284,10.01103281
7008.794434,14.93259285,13.56582161,9.246230083
7194.953613,15.04188544,14.04126498,8.176027654
7386.057129,15.73224739,14.4143204,9.91100583
7582.236816,15.8635915,15.04614999,8.208003491
7783.626465,15.6635628,14.56358106,9.161185845
7990.365723,15.44864155,14.35050278,8.939864764
8202.595703,15.44918222,14.48950234,8.421595537
8420.463867,15.84415679,14.80624502,9.119292583
8644.117188,15.59441427,14.72476323,8.182449366
8873.711914,15.45014377,14.35329405,8.936883459
9109.404297,15.47434791,14.58624466,8.144652227
9351.357422,15.87709646,14.95333377,8.70116011
9599.737305,15.61663976,14.74955748,8.193069398
9854.712891,15.84014241,14.91864204,8.654648113
10116.46191,17.19710141,16.59425781,8.323369179
10385.16309,18.35977926,17.87093997,8.631469957
10661.00098,17.77030803,17.22827521,8.464522751
10944.16602,18.40736328,17.92983572,8.582928279
11234.85156,18.47896997,18.00570255,8.617707948
11533.25781,18.4448816,17.97433351,8.559928744
11839.58984,18.31174235,17.81027628,8.687994067
12154.05859,18.83545614,18.39745539,8.655201558
12476.87988,18.34540206,17.84857993,8.683525107
12808.27539,19.30950089,18.90885605,8.760470733
13148.47363,19.83908355,19.48645783,8.759260319
13497.70703,19.38673234,18.99083386,8.788281917
13856.2168,19.74739275,19.38056264,8.832075331
14224.24805,19.76070739,19.39531763,8.82901385
14602.05566,19.04757031,18.61602487,8.806006408
14989.89746,19.98089761,19.63702803,8.796191604
15388.04102,19.47053249,19.08188837,8.795337348
15796.75879,19.53058701,19.14789654,8.791280228
16216.33301,18.97779708,18.54107095,8.785512334
16647.05078,19.11529537,18.69386976,8.775652421
17089.21094,19.00441174,18.57246041,8.766731022
17543.11328,18.64359046,18.17294403,8.759496828
18009.07227,18.81217057,18.3614384,8.750095843
18487.40625,18.4784069,17.98982301,8.747953287
18978.44727,18.39924049,17.90244252,8.737164183
19482.5293,18.81333493,18.41544135,8.235733228
20000,5.822441343,-4.035076959,5.348742687
